function_id,attempt,response_text,sas_score,function_code_preview
tier1_011_grid,1.0,"This function creates a table with no lines, headers, or footer, allowing for customization of padding and edge settings.",,"# Source : https://github.com/Textualize/rich/blob/master/rich/table.py (line 253)
# License: MIT
# Complexity: 1
# Tier   : tier1

def grid(
    cls,
    *headers: Union[Column, str],
    padding: PaddingDimensions = 0,
    collapse_padding: bool = True,
    pad_edge: bool = False,
    expand: bool = False,
) -> ""Table"":
    """"""Get a table with no lines, headers, or footer.

    Args:
        *headers (Union[Column, str]): Column headers, either as a string, or :class:`~rich.table.Column` instance.
        padding (PaddingDimensions, optional): Get padding around cells. Defaults to 0.
       "
tier1_012___bool__,1.0,This function returns a boolean value indicating whether the span or range object it is part of has an end position greater than its start position.,,"# Source : https://github.com/Textualize/rich/blob/master/rich/text.py (line 60)
# License: MIT
# Complexity: 1
# Tier   : tier1

def __bool__(self) -> bool:
    return self.end > self.start"
tier1_013_visit_regexp_replace_op_binary,1.0,This function raises a CompileError exception when attempting to compile a SQL query with a binary regular expression replacement operation that is not supported by the specified dialect.,,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/sql/compiler.py (line 3831)
# License: MIT
# Complexity: 1
# Tier   : tier1

def visit_regexp_replace_op_binary(
    self, binary: BinaryExpression[Any], operator: Any, **kw: Any
) -> str:
    raise exc.CompileError(
        ""%s dialect does not support regular expression replacements""
        % self.dialect.name
    )"
tier1_014_add_future,1.0,This function schedules a callback to be executed when a given asynchronous operation (represented by a Future object) completes.,,"# Source : https://github.com/tornadoweb/tornado/blob/master/tornado/ioloop.py (line 682)
# License: Apache-2.0
# Complexity: 3
# Tier   : tier1

def add_future(
    self,
    future: ""Union[Future[_T], concurrent.futures.Future[_T]]"",
    callback: Callable[[""Future[_T]""], None],
) -> None:
    """"""Schedules a callback on the ``IOLoop`` when the given
    `.Future` is finished.

    The callback is invoked with one argument, the
    `.Future`.

    This method only accepts `.Future` objects and not other
    awaitables (unlike most of Tornado where the two are
    interchangeable).
    """"""
   "
tier1_015_get_schema_from_ref,1.0,This function retrieves a Pydantic schema definition by its reference string.,,"# Source : https://github.com/pydantic/pydantic/blob/main/pydantic/_internal/_generate_schema.py (line 2728)
# License: MIT
# Complexity: 1
# Tier   : tier1

def get_schema_from_ref(self, ref: str) -> CoreSchema | None:
    """"""Resolve the schema from the given reference.""""""
    return self._definitions.get(ref)"
tier1_016_render_embed_js,1.0,"This function generates and returns a JavaScript string that embeds the provided JavaScript code, wrapping it in a script tag with a CDATA section.",,"# Source : https://github.com/tornadoweb/tornado/blob/master/tornado/web.py (line 1087)
# License: Apache-2.0
# Complexity: 1
# Tier   : tier1

def render_embed_js(self, js_embed: Iterable[bytes]) -> bytes:
    """"""Default method used to render the final embedded js for the
    rendered webpage.

    Override this method in a sub-classed controller to change the output.
    """"""
    return (
        b'<script type=""text/javascript"">\n//<![CDATA[\n'
        + b""\n"".join(js_embed)
        + b""\n//]]>\n</script>""
    )"
tier1_017___init__,1.0,"This function initializes a new instance of an HTTP client class, setting the initial request and default parameters for future operations.",,"# Source : https://github.com/tornadoweb/tornado/blob/master/tornado/httpclient.py (line 743)
# License: Apache-2.0
# Complexity: 1
# Tier   : tier1

def __init__(
    self, request: HTTPRequest, defaults: Optional[Dict[str, Any]]
) -> None:
    self.request = request
    self.defaults = defaults"
tier1_018_closed,1.0,This function checks whether a database connection is closed by verifying that the underlying database API connection is `None` and that reconnecting is not possible.,,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/engine/base.py (line 553)
# License: MIT
# Complexity: 2
# Tier   : tier1

def closed(self) -> bool:
    """"""Return True if this connection is closed.""""""

    return self._dbapi_connection is None and not self.__can_reconnect"
tier1_019__expire_state,1.0,"This function is responsible for expiring the state of an object in a SQLAlchemy session, which involves removing its attributes and re-fetching associated objects to maintain consistency with the session's current state.",,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/orm/session.py (line 3329)
# License: MIT
# Complexity: 3
# Tier   : tier1

def _expire_state(
    self,
    state: InstanceState[Any],
    attribute_names: Optional[Iterable[str]],
) -> None:
    self._validate_persistent(state)
    if attribute_names:
        state._expire_attributes(state.dict, attribute_names)
    else:
        # pre-fetch the full cascade since the expire is going to
        # remove associations
        cascaded = list(
            state.manager.mapper.cascade_iterator(""refresh-expire"", state)
 "
tier1_020_render,1.0,"This function generates and returns the HTML for an XSRF (Cross-Site Request Forgery) form, which is a security measure to prevent malicious scripts from making unauthorized requests on behalf of a user.",,"# Source : https://github.com/tornadoweb/tornado/blob/master/tornado/web.py (line 3466)
# License: Apache-2.0
# Complexity: 1
# Tier   : tier1

def render(self) -> str:
    return self.handler.xsrf_form_html()"
tier1_021__rget_with_confmod,1.0,This function retrieves a module and its attribute from the configuration files specified by the provided path.,,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/config/__init__.py (line 695)
# License: MIT
# Complexity: 3
# Tier   : tier1

def _rget_with_confmod(
    self,
    name: str,
    path: pathlib.Path,
) -> tuple[types.ModuleType, Any]:
    modules = self._getconftestmodules(path)
    for mod in reversed(modules):
        try:
            return mod, getattr(mod, name)
        except AttributeError:
            continue
    raise KeyError(name)"
tier1_022_define_constraint_cascades,1.0,"This function generates a SQL string that defines the cascading behavior for a given ForeignKeyConstraint, including ondelete and onupdate actions.",,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/sql/compiler.py (line 7528)
# License: MIT
# Complexity: 3
# Tier   : tier1

def define_constraint_cascades(
    self, constraint: ForeignKeyConstraint
) -> str:
    text = """"
    if constraint.ondelete is not None:
        text += self.define_constraint_ondelete_cascade(constraint)

    if constraint.onupdate is not None:
        text += self.define_constraint_onupdate_cascade(constraint)
    return text"
tier1_023_from_call,1.0,"This function, `from_call`, wraps the execution of a given function (`func`) in a structured way, collecting information about the call's timing, phase, and any exceptions that may be raised, and returns an instance of `CallInfo` containing this information.",,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/runner.py (line 336)
# License: MIT
# Complexity: 4
# Tier   : tier1

def from_call(
    cls,
    func: Callable[[], TResult],
    when: Literal[""collect"", ""setup"", ""call"", ""teardown""],
    reraise: type[BaseException] | tuple[type[BaseException], ...] | None = None,
) -> CallInfo[TResult]:
    """"""Call func, wrapping the result in a CallInfo.

    :param func:
        The function to call. Called without arguments.
    :type func: Callable[[], _pytest.runner.TResult]
    :param when:
        The phase in which the function i"
tier1_024_copy,1.0,"This function creates a deep copy of the given `Text` instance, copying all its attributes and references to ensure that any modifications made to the copied instance do not affect the original.",,"# Source : https://github.com/Textualize/rich/blob/master/rich/text.py (line 443)
# License: MIT
# Complexity: 1
# Tier   : tier1

def copy(self) -> ""Text"":
    """"""Return a copy of this instance.""""""
    copy_self = Text(
        self.plain,
        style=self.style,
        justify=self.justify,
        overflow=self.overflow,
        no_wrap=self.no_wrap,
        end=self.end,
        tab_size=self.tab_size,
    )
    copy_self._spans[:] = self._spans
    return copy_self"
tier1_025_get_version,1.0,"This function generates a version string for a static asset based on its absolute file path, which is used in static URLs.",,"# Source : https://github.com/tornadoweb/tornado/blob/master/tornado/web.py (line 3183)
# License: Apache-2.0
# Complexity: 1
# Tier   : tier1

def get_version(cls, settings: Dict[str, Any], path: str) -> Optional[str]:
    """"""Generate the version string to be used in static URLs.

    ``settings`` is the `Application.settings` dictionary and ``path``
    is the relative location of the requested asset on the filesystem.
    The returned value should be a string, or ``None`` if no version
    could be determined.

    .. versionchanged:: 3.1
       This method was previously recommended for su"
tier2_001___init__,1.0,"This function initializes a new Connection object, which is used to establish a connection to a database, and sets various attributes related to the connection, such as the dialect, transaction management, and event handling.",,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/engine/base.py (line 134)
# License: MIT
# Complexity: 8
# Tier   : tier2

def __init__(
    self,
    engine: Engine,
    connection: Optional[PoolProxiedConnection] = None,
    _has_events: Optional[bool] = None,
    _allow_revalidate: bool = True,
    _allow_autobegin: bool = True,
):
    """"""Construct a new Connection.""""""
    self.engine = engine
    self.dialect = dialect = engine.dialect

    if connection is None:
        try:
            self._dbapi_connection = engine.raw_connection()
        except dialect.lo"
tier2_002_get,1.0,"This function generates a ""row"" that represents the primary key of an INSERT operation, either by using the provided `lastrowid` value or extracting values from the parameters used for the INSERT.",,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/sql/compiler.py (line 2365)
# License: MIT
# Complexity: 7
# Tier   : tier2

def get(lastrowid, parameters):
    """"""given cursor.lastrowid value and the parameters used for INSERT,
    return a ""row"" that represents the primary key, either by
    using the ""lastrowid"" or by extracting values from the parameters
    that were sent along with the INSERT.

    """"""
    if lastrowid_processor is not None:
        lastrowid = lastrowid_processor(lastrowid)

    if lastrowid is None:
        return row_fn(getter(parameters) "
tier2_003__set_initial_conftests,1.0,"This function loads initial conftest files given a preparsed ""namespace"" by iterating through the provided paths, checking if they are anchors or exist, and attempting to load their corresponding conftest files.",,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/config/__init__.py (line 568)
# License: MIT
# Complexity: 6
# Tier   : tier2

def _set_initial_conftests(
    self,
    args: Sequence[str | pathlib.Path],
    pyargs: bool,
    noconftest: bool,
    rootpath: pathlib.Path,
    confcutdir: pathlib.Path | None,
    invocation_dir: pathlib.Path,
    importmode: ImportMode | str,
    *,
    consider_namespace_packages: bool,
) -> None:
    """"""Load initial conftest files given a preparsed ""namespace"".

    As conftest files may add their own command line options which have
    "
tier2_004_flush,1.0,"This function flushes the current output buffer to the network, ensuring that all headers and data are sent to the client before closing the connection.",,"# Source : https://github.com/tornadoweb/tornado/blob/master/tornado/web.py (line 1199)
# License: Apache-2.0
# Complexity: 10
# Tier   : tier2

def flush(self, include_footers: bool = False) -> ""Future[None]"":
    """"""Flushes the current output buffer to the network.

    .. versionchanged:: 4.0
       Now returns a `.Future` if no callback is given.

    .. versionchanged:: 6.0

       The ``callback`` argument was removed.
    """"""
    assert self.request.connection is not None
    chunk = b"""".join(self._write_buffer)
    self._write_buffer = []
    if not self._headers_written:
        self."
tier2_005__connect_and_send_request,1.0,"This function establishes a connection to the specified host and sends an HTTP request, handling potential timeouts, protocol settings, and response parsing.",,"# Source : https://github.com/aio-libs/aiohttp/blob/master/aiohttp/client.py (line 715)
# License: Apache-2.0
# Complexity: 6
# Tier   : tier2

async def _connect_and_send_request(
    req: ClientRequest,
) -> ClientResponse:
    # connection timeout
    assert self._connector is not None
    try:
        conn = await self._connector.connect(
            req, traces=traces, timeout=real_timeout
        )
    except asyncio.TimeoutError as exc:
        raise ConnectionTimeoutError(
            f""Connection timeout to host {req.url}""
        ) from exc

    assert conn.protocol is not None
    c"
tier2_006__available_connections,1.0,"This function calculates the number of available connections, taking into account a global limit, a per-host limit, and any previously acquired connections for a given connection key.",,"# Source : https://github.com/aio-libs/aiohttp/blob/master/aiohttp/connector.py (line 528)
# License: Apache-2.0
# Complexity: 6
# Tier   : tier2

def _available_connections(self, key: ""ConnectionKey"") -> int:
    """"""
    Return number of available connections.

    The limit, limit_per_host and the connection key are taken into account.

    If it returns less than 1 means that there are no connections
    available.
    """"""
    # check total available connections
    # If there are no limits, this will always return 1
    total_remain = 1

    if self._limit and (total_remain := self._limit "
tier2_007_ensure_multipart_is_installed,1.0,"This function checks if the `python_multipart` or `multipart` library is installed and its version meets a minimum requirement, raising an error if either library is not installed or its version is too old.",,"# Source : https://github.com/fastapi/fastapi/blob/master/fastapi/dependencies/utils.py (line 84)
# License: MIT
# Complexity: 7
# Tier   : tier2

def ensure_multipart_is_installed() -> None:
    try:
        from python_multipart import __version__

        # Import an attribute that can be mocked/deleted in testing
        assert __version__ > ""0.0.12""
    except (ImportError, AssertionError):
        try:
            # __version__ is available in both multiparts, and can be mocked
            from multipart import __version__  # type: ignore[no-redef,import-untyped]

            assert __ve"
tier2_008_call_and_report,1.0,"This function is responsible for executing a test hook (setup, call, or teardown) and reporting the result of the test execution.",,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/runner.py (line 231)
# License: MIT
# Complexity: 7
# Tier   : tier2

def call_and_report(
    item: Item, when: Literal[""setup"", ""call"", ""teardown""], log: bool = True, **kwds
) -> TestReport:
    ihook = item.ihook
    if when == ""setup"":
        runtest_hook: Callable[..., None] = ihook.pytest_runtest_setup
    elif when == ""call"":
        runtest_hook = ihook.pytest_runtest_call
    elif when == ""teardown"":
        runtest_hook = ihook.pytest_runtest_teardown
    else:
        assert False, f""Unhandled runtest hook case: "
tier2_009_get_identity_options,1.0,"This function generates a SQL string that defines the identity options for an auto-incrementing column, including settings such as increment value, starting value, minimum and maximum values, caching, and cycling.",,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/sql/compiler.py (line 7305)
# License: MIT
# Complexity: 10
# Tier   : tier2

def get_identity_options(self, identity_options: IdentityOptions) -> str:
    text = []
    if identity_options.increment is not None:
        text.append(""INCREMENT BY %d"" % identity_options.increment)
    if identity_options.start is not None:
        text.append(""START WITH %d"" % identity_options.start)
    if identity_options.minvalue is not None:
        text.append(""MINVALUE %d"" % identity_options.minvalue)
    if identity_options.maxv"
tier2_010_send_error,1.0,"This function sends an HTTP error response to the browser with a specified status code and optional reason message, overriding any previously written output and potentially terminating the response.",,"# Source : https://github.com/tornadoweb/tornado/blob/master/tornado/web.py (line 1326)
# License: Apache-2.0
# Complexity: 10
# Tier   : tier2

def send_error(self, status_code: int = 500, **kwargs: Any) -> None:
    """"""Sends the given HTTP error code to the browser.

    If `flush()` has already been called, it is not possible to send
    an error, so this method will simply terminate the response.
    If output has been written but not yet flushed, it will be discarded
    and replaced with the error page.

    Override `write_error()` to customize the error page that is returned.
    Addit"
tier2_011__traceback_filter,1.0,"This function filters and formats the traceback information from an exception, potentially removing unnecessary details or modifying its style according to the test configuration.",,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/python.py (line 1690)
# License: MIT
# Complexity: 9
# Tier   : tier2

def _traceback_filter(self, excinfo: ExceptionInfo[BaseException]) -> Traceback:
    if hasattr(self, ""_obj"") and not self.config.getoption(""fulltrace"", False):
        code = _pytest._code.Code.from_function(get_real_func(self.obj))
        path, firstlineno = code.path, code.firstlineno
        traceback = excinfo.traceback
        ntraceback = traceback.cut(path=path, firstlineno=firstlineno)
        if ntraceback == traceback:
            ntraceback ="
tier2_012_render_lines,1.0,"This function renders a given `renderable` object into a list of lines, where each line is a list of segments, and optionally applies a specified style to the rendered text.",,"# Source : https://github.com/Textualize/rich/blob/master/rich/console.py (line 1351)
# License: MIT
# Complexity: 7
# Tier   : tier2

def render_lines(
    self,
    renderable: RenderableType,
    options: Optional[ConsoleOptions] = None,
    *,
    style: Optional[Style] = None,
    pad: bool = True,
    new_lines: bool = False,
) -> List[List[Segment]]:
    """"""Render objects in to a list of lines.

    The output of render_lines is useful when further formatting of rendered console text
    is required, such as the Panel class which draws a border around any renderable object.

    Args:
 "
tier2_013___init__,1.0,"This function initializes a new instance of the `Compiled` class, which is used to compile SQL statements against a specific dialect and schema translate map, and sets various internal state variables based on the provided parameters.",,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/sql/compiler.py (line 889)
# License: MIT
# Complexity: 8
# Tier   : tier2

def __init__(
    self,
    dialect: Dialect,
    statement: Optional[ClauseElement],
    schema_translate_map: Optional[SchemaTranslateMapType] = None,
    render_schema_translate: bool = False,
    compile_kwargs: Mapping[str, Any] = util.immutabledict(),
):
    """"""Construct a new :class:`.Compiled` object.

    :param dialect: :class:`.Dialect` to compile against.

    :param statement: :class:`_expression.ClauseElement` to be compiled.

  "
tier2_014_visit_override_binds,1.0,"This function is used to compile and modify the SQL statement of an _OverrideBinds object, which contains bind parameters that need to be swapped out at execution time.",,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/sql/compiler.py (line 2448)
# License: MIT
# Complexity: 8
# Tier   : tier2

def visit_override_binds(self, override_binds, **kw):
    """"""SQL compile the nested element of an _OverrideBinds with
    bindparams swapped out.

    The _OverrideBinds is not normally expected to be compiled; it
    is meant to be used when an already cached statement is to be used,
    the compilation was already performed, and only the bound params should
    be swapped in at execution time.

    However, there are test cases that exerici"
tier2_015_task,1.0,"This function is a decorator that creates a task class out of any callable, allowing it to be used with Celery's task queue system.",,"# Source : https://github.com/celery/celery/blob/main/celery/app/base.py (line 489)
# License: BSD-3
# Complexity: 6
# Tier   : tier2

def task(self, *args, **opts):
    """"""Decorator to create a task class out of any callable.

    See :ref:`Task options<task-options>` for a list of the
    arguments that can be passed to this decorator.

    Examples:
        .. code-block:: python

            @app.task
            def refresh_feed(url):
                store_feed(feedparser.parse(url))

        with setting extra options:

        .. code-block:: python

            @app.task(exchange='feed"
tier2_016__get_proxy_map,1.0,"This function generates a dictionary mapping all available proxies to the specified proxy, either from environment variables or a provided proxy URL.",,"# Source : https://github.com/encode/httpx/blob/master/httpx/_client.py (line 239)
# License: BSD-3
# Complexity: 6
# Tier   : tier2

def _get_proxy_map(
    self, proxy: ProxyTypes | None, allow_env_proxies: bool
) -> dict[str, Proxy | None]:
    if proxy is None:
        if allow_env_proxies:
            return {
                key: None if url is None else Proxy(url=url)
                for key, url in get_environment_proxies().items()
            }
        return {}
    else:
        proxy = Proxy(url=proxy) if isinstance(proxy, (str, URL)) else proxy
        return {""all://"": proxy}"
tier2_017_collect,1.0,"This function, part of the pytest framework, filters out test classes that have an __init__ or __new__ constructor and instead collects fixtures for those classes.",,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/python.py (line 757)
# License: MIT
# Complexity: 6
# Tier   : tier2

def collect(self) -> Iterable[nodes.Item | nodes.Collector]:
    if not safe_getattr(self.obj, ""__test__"", True):
        return []
    if hasinit(self.obj):
        assert self.parent is not None
        self.warn(
            PytestCollectionWarning(
                f""cannot collect test class {self.obj.__name__!r} because it has a ""
                f""__init__ constructor (from: {self.parent.nodeid})""
            )
        )
        return []
    elif ha"
tier2_018___init__,1.0,"This function initializes a test case object in the Pytest framework, setting various attributes such as the test name, parent node, and configuration, while also handling fixtures, callspecs, and markers.",,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/python.py (line 1584)
# License: MIT
# Complexity: 7
# Tier   : tier2

def __init__(
    self,
    name: str,
    parent,
    config: Config | None = None,
    callspec: CallSpec2 | None = None,
    callobj=NOTSET,
    keywords: Mapping[str, Any] | None = None,
    session: Session | None = None,
    fixtureinfo: FuncFixtureInfo | None = None,
    originalname: str | None = None,
) -> None:
    super().__init__(name, parent, config=config, session=session)

    if callobj is not NOTSET:
        self._obj = callobj
        se"
tier2_019__get_plugin_specs_as_list,1.0,"This function takes a plugins specification (which can be an empty value, a module name, a comma-separated list of plugin names, or a direct list of plugin names) and returns it as a list of plugin names in a format that can be used by the pytest testing framework.",,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/config/__init__.py (line 905)
# License: MIT
# Complexity: 6
# Tier   : tier2

def _get_plugin_specs_as_list(
    specs: None | types.ModuleType | str | Sequence[str],
) -> list[str]:
    """"""Parse a plugins specification into a list of plugin names.""""""
    # None means empty.
    if specs is None:
        return []
    # Workaround for #3899 - a submodule which happens to be called ""pytest_plugins"".
    if isinstance(specs, types.ModuleType):
        return []
    # Comma-separated list.
    if isinstance(specs, str):
      "
tier2_020__prepareconfig,1.0,This function prepares and returns a configuration object for the pytest testing framework by parsing command-line arguments and plugins.,,"# Source : https://github.com/pytest-dev/pytest/blob/main/src/_pytest/config/__init__.py (line 342)
# License: MIT
# Complexity: 7
# Tier   : tier2

def _prepareconfig(
    args: list[str] | os.PathLike[str],
    plugins: Sequence[str | _PluggyPlugin] | None = None,
) -> Config:
    if isinstance(args, os.PathLike):
        args = [os.fspath(args)]
    elif not isinstance(args, list):
        msg = (  # type:ignore[unreachable]
            ""`args` parameter expected to be a list of strings, got: {!r} (type: {})""
        )
        raise TypeError(msg.format(args, type(args)))

    initial_confi"
tier2_021__inserted_primary_key_from_returning_get,1.0,This function generates a custom function that can be used to retrieve the inserted primary key values from an INSERT statement with an explicit RETURNING clause.,,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/sql/compiler.py (line 2395)
# License: MIT
# Complexity: 9
# Tier   : tier2

def _inserted_primary_key_from_returning_getter(self):
    result = util.preloaded.engine_result

    assert self.compile_state is not None
    statement = self.compile_state.statement

    if TYPE_CHECKING:
        assert isinstance(statement, Insert)

    param_key_getter = self._within_exec_param_key_getter
    table = statement.table

    returning = self.implicit_returning
    assert returning is not None
    ret = {col: idx for idx, col"
tier2_022_get_column_specification,1.0,"This function generates a string representation of the column specification for a given SQLAlchemy Column object, including its data type, default value, computed columns, and identity constraints.",,"# Source : https://github.com/sqlalchemy/sqlalchemy/blob/main/lib/sqlalchemy/sql/compiler.py (line 7363)
# License: MIT
# Complexity: 8
# Tier   : tier2

def get_column_specification(
    self, column: Column[Any], **kwargs: Any
) -> str:
    colspec = (
        self.preparer.format_column(column)
        + "" ""
        + self.dialect.type_compiler_instance.process(
            column.type, type_expression=column
        )
    )
    default = self.get_column_default_string(column)
    if default is not None:
        colspec += "" DEFAULT "" + default

    if column.computed is not None:
        c"
tier2_023__release,1.0,"This function releases a connection from the connector, which involves closing any associated transport and updating internal state to handle future connections.",,"# Source : https://github.com/aio-libs/aiohttp/blob/master/aiohttp/connector.py (line 759)
# License: Apache-2.0
# Complexity: 8
# Tier   : tier2

def _release(
    self,
    key: ""ConnectionKey"",
    protocol: ResponseHandler,
    *,
    should_close: bool = False,
) -> None:
    if self._closed:
        # acquired connection is already released on connector closing
        return

    self._release_acquired(key, protocol)

    if self._force_close or should_close or protocol.should_close:
        transport = protocol.transport
        protocol.close()
        if key.is_ssl and not self._clea"
tier2_024_etag,1.0,"This function sets the ETag header in an HTTP response based on the provided value, which can be a string, an ETag object, or None, and validates its format according to the HTTP specification.",,"# Source : https://github.com/aio-libs/aiohttp/blob/master/aiohttp/web_response.py (line 297)
# License: Apache-2.0
# Complexity: 10
# Tier   : tier2

def etag(self, value: ETag | str | None) -> None:
    if value is None:
        self._headers.pop(hdrs.ETAG, None)
    elif (isinstance(value, str) and value == ETAG_ANY) or (
        isinstance(value, ETag) and value.value == ETAG_ANY
    ):
        self._headers[hdrs.ETAG] = ETAG_ANY
    elif isinstance(value, str):
        validate_etag_value(value)
        self._headers[hdrs.ETAG] = f'""{value}""'
    elif isinstance(value, ETag) and isinstanc"
